"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","37.9.96.13","192.168.0.12","TCP","66","443  >  52199 [SYN, ACK] Seq=0 Ack=1 Win=42300 Len=0 MSS=1410 SACK_PERM=1 WS=4096"
"2","0.000273","192.168.0.12","37.9.96.13","TCP","54","52199  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=0"
"4","0.248057","37.9.96.13","192.168.0.12","TCP","54","443  >  52199 [ACK] Seq=1 Ack=459 Win=45056 Len=0"
"8","0.508184","37.9.96.13","192.168.0.12","TCP","54","443  >  52199 [ACK] Seq=125 Ack=832 Win=45056 Len=0"
"10","0.514542","192.168.0.12","192.168.0.1","TCP","66","52200  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"11","0.517251","192.168.0.1","192.168.0.12t","TCP","62","5431  >  52200 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"12","0.517453","192.168.0.12","192.168.0.1","TCP","54","52200  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"13","0.517682","192.168.0.12","192.168.0.1","TCP","387","52200  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=333 [TCP segment of a reassembled PDU]"
"16","0.525686","192.168.0.12","192.168.0.1","TCP","54","52200  >  5431 [FIN, ACK] Seq=643 Ack=502 Win=65024 Len=0"
"17","0.525867","192.168.0.1","192.168.0.12","TCP","54","5431  >  52200 [FIN, ACK] Seq=502 Ack=643 Win=8192 Len=0"
"18","0.525976","192.168.0.12","192.168.0.1","TCP","54","52200  >  5431 [ACK] Seq=644 Ack=503 Win=65024 Len=0"
"19","0.529199","192.168.0.1","192.168.0.12","TCP","54","5431  >  52200 [ACK] Seq=503 Ack=644 Win=8192 Len=0"
"20","0.530977","192.168.0.12","192.168.0.1","TCP","66","52201  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"21","0.534256","192.168.0.1","192.168.0.12","TCP","62","5431  >  52201 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"22","0.534456","192.168.0.12","192.168.0.1","TCP","54","52201  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"23","0.534697","192.168.0.12","192.168.0.1","TCP","391","52201  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=337 [TCP segment of a reassembled PDU]"
"26","0.543177","192.168.0.12","192.168.0.1","TCP","54","52201  >  5431 [FIN, ACK] Seq=651 Ack=518 Win=65024 Len=0"
"27","0.543513","192.168.0.1","192.168.0.12","TCP","54","5431  >  52201 [FIN, ACK] Seq=518 Ack=651 Win=8192 Len=0"
"28","0.543658","192.168.0.12","192.168.0.1","TCP","54","52201  >  5431 [ACK] Seq=652 Ack=519 Win=65024 Len=0"
"29","0.546377","192.168.0.1","192.168.0.12","TCP","54","5431  >  52201 [ACK] Seq=519 Ack=652 Win=8192 Len=0"
"30","0.547823","192.168.0.12","192.168.0.1","TCP","66","52202  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"31","0.550563","192.168.0.1","192.168.0.12","TCP","62","5431  >  52202 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=1"
"32","0.550760","192.168.0.12","192.168.0.1","TCP","54","52202  >  5431 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"33","0.550981","192.168.0.12","192.168.0.1","TCP","387","52202  >  5431 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=333 [TCP segment of a reassembled PDU]"
"34","0.551078","192.168.0.12","37.9.96.13","TCP","54","52199  >  443 [ACK] Seq=832 Ack=739 Win=255 Len=0"
